año,sector,actividad,subactividad,categoria,id_ipcc,tipo_de_gas,valor_en_toneladas_de_co2e,tipo_de_registro
1993,Energía,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,CO2,2.85,Emisión
1994,Energía,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,CO2,3.13,Emisión
1995,Energía,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,CO2,3.38,Emisión
1996,Energía,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,CO2,4.37,Emisión
1997,Energía,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,CO2,5.16,Emisión
1998,Energía,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,CO2,7.1,Emisión
1999,Energía,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,CO2,7.46,Emisión
2000,Energía,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,CO2,7.99,Emisión
2001,Energía,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,CO2,8.07,Emisión
2002,Energía,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,CO2,8.54,Emisión
2003,Energía,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,CO2,8.72,Emisión
2004,Energía,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,CO2,9.26,Emisión
2005,Energía,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,CO2,8.96,Emisión
2006,Energía,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,CO2,8.9,Emisión
2007,Energía,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,CO2,9.82,Emisión
2008,Energía,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,CO2,10.52,Emisión
2009,Energía,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,CO2,10.95,Emisión
2010,Energía,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,CO2,10.87,Emisión
2011,Energía,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,CO2,10.8,Emisión
2012,Energía,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,CO2,10.86,Emisión
2013,Energía,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,CO2,10.85,Emisión
